n = 1000
i              x              u      rel error
61      0.0619381       0.399784       -5.08005
62      0.0629371       0.404135       -5.08005
63      0.0639361       0.408434       -5.08005
64      0.0649351        0.41268       -5.08005
65      0.0659341       0.416873       -5.08005
66      0.0669331       0.421015       -5.08005
67      0.0679321       0.425106       -5.08005
68      0.0689311       0.429147       -5.08005
69      0.0699301       0.433137       -5.08005
70      0.0709291       0.437077       -5.08005
71      0.0719281       0.440969       -5.08005
72      0.0729271       0.444812       -5.08005
73      0.0739261       0.448607       -5.08005
74      0.0749251       0.452354       -5.08005
75      0.0759241       0.456054       -5.08005
76      0.0769231       0.459707       -5.08005
77      0.0779221       0.463314       -5.08005
78      0.0789211       0.466876       -5.08005
79      0.0799201       0.470391       -5.08005
80      0.0809191       0.473862       -5.08005
81      0.0819181       0.477289       -5.08005
82      0.0829171       0.480672       -5.08005
83      0.0839161       0.484011       -5.08005
84      0.0849151       0.487307       -5.08005
85      0.0859141        0.49056       -5.08005
86      0.0869131       0.493771       -5.08005
87      0.0879121        0.49694       -5.08005
88      0.0889111       0.500068       -5.08005
89      0.0899101       0.503154       -5.08005
90      0.0909091       0.506201       -5.08005
91      0.0919081       0.509206       -5.08005
92      0.0929071       0.512172       -5.08005
93      0.0939061       0.515099       -5.08005
94      0.0949051       0.517987       -5.08005
95      0.0959041       0.520836       -5.08005
96      0.0969031       0.523646       -5.08005
97      0.0979021       0.526419       -5.08005
98      0.0989011       0.529155       -5.08005
99      0.0999001       0.531853       -5.08005
100       0.100899       0.534514       -5.08005
101       0.101898       0.537139       -5.08005
102       0.102897       0.539729       -5.08005
103       0.103896       0.542282       -5.08005
104       0.104895         0.5448       -5.08005
105       0.105894       0.547283       -5.08005
106       0.106893       0.549732       -5.08005
107       0.107892       0.552146       -5.08005
108       0.108891       0.554526       -5.08005
109        0.10989       0.556873       -5.08005
110       0.110889       0.559187       -5.08005
111       0.111888       0.561467       -5.08005
112       0.112887       0.563715       -5.08005
113       0.113886       0.565931       -5.08005
114       0.114885       0.568115       -5.08005
115       0.115884       0.570267       -5.08005
116       0.116883       0.572388       -5.08005
117       0.117882       0.574477       -5.08005
118       0.118881       0.576536       -5.08005
119        0.11988       0.578565       -5.08005
120       0.120879       0.580564       -5.08005
121       0.121878       0.582532       -5.08005
122       0.122877       0.584472       -5.08005
123       0.123876       0.586382       -5.08005
124       0.124875       0.588263       -5.08005
125       0.125874       0.590115       -5.08005
126       0.126873        0.59194       -5.08005
127       0.127872       0.593736       -5.08005
128       0.128871       0.595504       -5.08005
129        0.12987       0.597245       -5.08005
130       0.130869       0.598958       -5.08005
131       0.131868       0.600645       -5.08005
132       0.132867       0.602305       -5.08005
133       0.133866       0.603938       -5.08005
134       0.134865       0.605546       -5.08005
135       0.135864       0.607127       -5.08005
136       0.136863       0.608683       -5.08005
137       0.137862       0.610213       -5.08005
138       0.138861       0.611719       -5.08005
139        0.13986       0.613199       -5.08005
140       0.140859       0.614655       -5.08005
141       0.141858       0.616086       -5.08005
142       0.142857       0.617493       -5.08005
143       0.143856       0.618876       -5.08005
144       0.144855       0.620236       -5.08005
145       0.145854       0.621572       -5.08005
146       0.146853       0.622885       -5.08005
147       0.147852       0.624175       -5.08005
148       0.148851       0.625442       -5.08005
149        0.14985       0.626687       -5.08005
150       0.150849       0.627909       -5.08005
151       0.151848       0.629109       -5.08005
152       0.152847       0.630288       -5.08005
153       0.153846       0.631444       -5.08005
154       0.154845        0.63258       -5.08005
155       0.155844       0.633694       -5.08005
156       0.156843       0.634787       -5.08005
157       0.157842       0.635859       -5.08005
158       0.158841       0.636911       -5.08005
159        0.15984       0.637942       -5.08005
160       0.160839       0.638953       -5.08005
161       0.161838       0.639945       -5.08005
162       0.162837       0.640916       -5.08005
163       0.163836       0.641868       -5.08005
164       0.164835         0.6428       -5.08005
165       0.165834       0.643713       -5.08005
166       0.166833       0.644608       -5.08005
167       0.167832       0.645483       -5.08005
168       0.168831        0.64634       -5.08005
169        0.16983       0.647178       -5.08005
170       0.170829       0.647998       -5.08005
171       0.171828         0.6488       -5.08005
172       0.172827       0.649584       -5.08005
173       0.173826       0.650351       -5.08005
174       0.174825       0.651099       -5.08005
175       0.175824       0.651831       -5.08005
176       0.176823       0.652545       -5.08005
177       0.177822       0.653242       -5.08005
178       0.178821       0.653923       -5.08005
179        0.17982       0.654586       -5.08005
180       0.180819       0.655233       -5.08005
181       0.181818       0.655864       -5.08005
182       0.182817       0.656479       -5.08005
183       0.183816       0.657077       -5.08005
184       0.184815        0.65766       -5.08005
185       0.185814       0.658227       -5.08005
186       0.186813       0.658778       -5.08005
187       0.187812       0.659314       -5.08005
188       0.188811       0.659835       -5.08005
189        0.18981        0.66034       -5.08005
190       0.190809       0.660831       -5.08005
191       0.191808       0.661307       -5.08005
192       0.192807       0.661768       -5.08005
193       0.193806       0.662214       -5.08005
194       0.194805       0.662647       -5.08005
195       0.195804       0.663065       -5.08005
196       0.196803       0.663469       -5.08005
197       0.197802       0.663859       -5.08005
198       0.198801       0.664235       -5.08005
199         0.1998       0.664597       -5.08005
200       0.200799       0.664946       -5.08005
201       0.201798       0.665282       -5.08005
202       0.202797       0.665604       -5.08005
203       0.203796       0.665914       -5.08005
204       0.204795        0.66621       -5.08005
205       0.205794       0.666493       -5.08005
206       0.206793       0.666764       -5.08005
207       0.207792       0.667022       -5.08005
208       0.208791       0.667267       -5.08005
209        0.20979         0.6675       -5.08005
210       0.210789       0.667721       -5.08005
211       0.211788        0.66793       -5.08005
212       0.212787       0.668126       -5.08005
213       0.213786       0.668311       -5.08005
214       0.214785       0.668484       -5.08005
215       0.215784       0.668646       -5.08005
216       0.216783       0.668796       -5.08005
217       0.217782       0.668934       -5.08005
218       0.218781       0.669061       -5.08005
219        0.21978       0.669177       -5.08005
220       0.220779       0.669282       -5.08005
221       0.221778       0.669376       -5.08005
222       0.222777       0.669459       -5.08005
223       0.223776       0.669531       -5.08005
224       0.224775       0.669593       -5.08005
225       0.225774       0.669644       -5.08005
226       0.226773       0.669685       -5.08005
227       0.227772       0.669715       -5.08005
228       0.228771       0.669735       -5.08005
229        0.22977       0.669745       -5.08005
230       0.230769       0.669745       -5.08005
231       0.231768       0.669735       -5.08005
232       0.232767       0.669715       -5.08005
233       0.233766       0.669686       -5.08005
234       0.234765       0.669647       -5.08005
235       0.235764       0.669598       -5.08005
236       0.236763        0.66954       -5.08005
237       0.237762       0.669472       -5.08005
238       0.238761       0.669395       -5.08005
239        0.23976       0.669309       -5.08005
240       0.240759       0.669214       -5.08005
241       0.241758        0.66911       -5.08005
242       0.242757       0.668997       -5.08005
243       0.243756       0.668876       -5.08005
244       0.244755       0.668745       -5.08005
245       0.245754       0.668606       -5.08005
246       0.246753       0.668459       -5.08005
247       0.247752       0.668302       -5.08005
248       0.248751       0.668138       -5.08005
249        0.24975       0.667965       -5.08005
250       0.250749       0.667784       -5.08005
251       0.251748       0.667595       -5.08005
252       0.252747       0.667398       -5.08005
253       0.253746       0.667193       -5.08005
254       0.254745        0.66698       -5.08005
255       0.255744       0.666759       -5.08005
256       0.256743       0.666531       -5.08005
257       0.257742       0.666294       -5.08005
258       0.258741       0.666051       -5.08005
259        0.25974       0.665799       -5.08005
260       0.260739       0.665541       -5.08005
261       0.261738       0.665274       -5.08005
262       0.262737       0.665001       -5.08005
263       0.263736        0.66472       -5.08005
264       0.264735       0.664433       -5.08005
265       0.265734       0.664138       -5.08005
266       0.266733       0.663836       -5.08005
267       0.267732       0.663527       -5.08005
268       0.268731       0.663212       -5.08005
269        0.26973       0.662889       -5.08005
270       0.270729        0.66256       -5.08005
271       0.271728       0.662225       -5.08005
272       0.272727       0.661882       -5.08005
273       0.273726       0.661533       -5.08005
274       0.274725       0.661178       -5.08005
275       0.275724       0.660816       -5.08005
276       0.276723       0.660448       -5.08005
277       0.277722       0.660074       -5.08005
278       0.278721       0.659693       -5.08005
279        0.27972       0.659307       -5.08005
280       0.280719       0.658914       -5.08005
281       0.281718       0.658515       -5.08005
282       0.282717        0.65811       -5.08005
283       0.283716       0.657699       -5.08005
284       0.284715       0.657283       -5.08005
285       0.285714       0.656861       -5.08005
286       0.286713       0.656433       -5.08005
287       0.287712       0.655999       -5.08005
288       0.288711       0.655559       -5.08005
289        0.28971       0.655115       -5.08005
290       0.290709       0.654664       -5.08005
291       0.291708       0.654208       -5.08005
292       0.292707       0.653747       -5.08005
293       0.293706        0.65328       -5.08005
294       0.294705       0.652808       -5.08005
295       0.295704       0.652331       -5.08005
296       0.296703       0.651849       -5.08005
297       0.297702       0.651362       -5.08005
298       0.298701       0.650869       -5.08005
299         0.2997       0.650371       -5.08005
300       0.300699       0.649869       -5.08005
301       0.301698       0.649361       -5.08005
302       0.302697       0.648849       -5.08005
303       0.303696       0.648332       -5.08005
304       0.304695        0.64781       -5.08005
305       0.305694       0.647283       -5.08005
306       0.306693       0.646751       -5.08005
307       0.307692       0.646215       -5.08005
308       0.308691       0.645675       -5.08005
309        0.30969       0.645129       -5.08005
310       0.310689        0.64458       -5.08005
311       0.311688       0.644025       -5.08005
312       0.312687       0.643467       -5.08005
313       0.313686       0.642904       -5.08005
314       0.314685       0.642336       -5.08005
315       0.315684       0.641765       -5.08005
316       0.316683       0.641189       -5.08005
317       0.317682       0.640609       -5.08005
318       0.318681       0.640025       -5.08005
319        0.31968       0.639436       -5.08005
320       0.320679       0.638844       -5.08005
321       0.321678       0.638247       -5.08005
322       0.322677       0.637647       -5.08005
323       0.323676       0.637042       -5.08005
324       0.324675       0.636434       -5.08005
325       0.325674       0.635822       -5.08005
326       0.326673       0.635205       -5.08005
327       0.327672       0.634586       -5.08005
328       0.328671       0.633962       -5.08005
329        0.32967       0.633334       -5.08005
330       0.330669       0.632703       -5.08005
331       0.331668       0.632069       -5.08005
332       0.332667        0.63143       -5.08005
333       0.333666       0.630788       -5.08005
334       0.334665       0.630143       -5.08005
335       0.335664       0.629494       -5.08005
336       0.336663       0.628841       -5.08005
337       0.337662       0.628185       -5.08005
338       0.338661       0.627526       -5.08005
339        0.33966       0.626863       -5.08005
340       0.340659       0.626197       -5.08005
341       0.341658       0.625528       -5.08005
342       0.342657       0.624855       -5.08005
343       0.343656       0.624179       -5.08005
344       0.344655         0.6235       -5.08005
345       0.345654       0.622818       -5.08005
346       0.346653       0.622132       -5.08005
347       0.347652       0.621444       -5.08005
348       0.348651       0.620752       -5.08005
349        0.34965       0.620057       -5.08005
350       0.350649       0.619359       -5.08005
351       0.351648       0.618659       -5.08005
352       0.352647       0.617955       -5.08005
353       0.353646       0.617248       -5.08005
354       0.354645       0.616539       -5.08005
355       0.355644       0.615827       -5.08005
356       0.356643       0.615111       -5.08005
357       0.357642       0.614393       -5.08005
358       0.358641       0.613672       -5.08005
359        0.35964       0.612949       -5.08005
360       0.360639       0.612222       -5.08005
361       0.361638       0.611493       -5.08005
362       0.362637       0.610762       -5.08005
363       0.363636       0.610027       -5.08005
364       0.364635        0.60929       -5.08005
365       0.365634        0.60855       -5.08005
366       0.366633       0.607808       -5.08005
367       0.367632       0.607063       -5.08005
368       0.368631       0.606316       -5.08005
369        0.36963       0.605566       -5.08005
370       0.370629       0.604814       -5.08005
371       0.371628       0.604059       -5.08005
372       0.372627       0.603302       -5.08005
373       0.373626       0.602543       -5.08005
374       0.374625       0.601781       -5.08005
375       0.375624       0.601016       -5.08005
376       0.376623        0.60025       -5.08005
377       0.377622       0.599481       -5.08005
378       0.378621        0.59871       -5.08005
379        0.37962       0.597936       -5.08005
380       0.380619        0.59716       -5.08005
381       0.381618       0.596382       -5.08005
382       0.382617       0.595602       -5.08005
383       0.383616        0.59482       -5.08005
384       0.384615       0.594035       -5.08005
385       0.385614       0.593249       -5.08005
386       0.386613        0.59246       -5.08005
387       0.387612       0.591669       -5.08005
388       0.388611       0.590876       -5.08005
389        0.38961       0.590081       -5.08005
390       0.390609       0.589285       -5.08005
391       0.391608       0.588486       -5.08005
392       0.392607       0.587685       -5.08005
393       0.393606       0.586882       -5.08005
394       0.394605       0.586077       -5.08005
395       0.395604        0.58527       -5.08005
396       0.396603       0.584461       -5.08005
397       0.397602       0.583651       -5.08005
398       0.398601       0.582838       -5.08005
399         0.3996       0.582024       -5.08005
400       0.400599       0.581208       -5.08005
401       0.401598        0.58039       -5.08005
402       0.402597        0.57957       -5.08005
403       0.403596       0.578748       -5.08005
404       0.404595       0.577925       -5.08005
405       0.405594         0.5771       -5.08005
406       0.406593       0.576273       -5.08005
407       0.407592       0.575445       -5.08005
408       0.408591       0.574615       -5.08005
409        0.40959       0.573783       -5.08005
410       0.410589       0.572949       -5.08005
411       0.411588       0.572114       -5.08005
412       0.412587       0.571277       -5.08005
413       0.413586       0.570439       -5.08005
414       0.414585       0.569599       -5.08005
415       0.415584       0.568757       -5.08005
416       0.416583       0.567914       -5.08005
417       0.417582       0.567069       -5.08005
418       0.418581       0.566223       -5.08005
419        0.41958       0.565375       -5.08005
420       0.420579       0.564526       -5.08005
421       0.421578       0.563675       -5.08005
422       0.422577       0.562823       -5.08005
423       0.423576       0.561969       -5.08005
424       0.424575       0.561114       -5.08005
425       0.425574       0.560258       -5.08005
426       0.426573         0.5594       -5.08005
427       0.427572        0.55854       -5.08005
428       0.428571        0.55768       -5.08005
429        0.42957       0.556817       -5.08005
430       0.430569       0.555954       -5.08005
431       0.431568       0.555089       -5.08005
432       0.432567       0.554223       -5.08005
433       0.433566       0.553355       -5.08005
434       0.434565       0.552487       -5.08005
435       0.435564       0.551617       -5.08005
436       0.436563       0.550745       -5.08005
437       0.437562       0.549873       -5.08005
438       0.438561       0.548999       -5.08005
439        0.43956       0.548124       -5.08005
440       0.440559       0.547247       -5.08005
441       0.441558        0.54637       -5.08005
442       0.442557       0.545491       -5.08005
443       0.443556       0.544611       -5.08005
444       0.444555        0.54373       -5.08005
445       0.445554       0.542847       -5.08005
446       0.446553       0.541964       -5.08005
447       0.447552       0.541079       -5.08005
448       0.448551       0.540193       -5.08005
449        0.44955       0.539306       -5.08005
450       0.450549       0.538418       -5.08005
451       0.451548       0.537529       -5.08005
452       0.452547       0.536639       -5.08005
453       0.453546       0.535748       -5.08005
454       0.454545       0.534855       -5.08005
455       0.455544       0.533962       -5.08005
456       0.456543       0.533067       -5.08005
457       0.457542       0.532172       -5.08005
458       0.458541       0.531275       -5.08005
459        0.45954       0.530378       -5.08005
460       0.460539       0.529479       -5.08005
461       0.461538        0.52858       -5.08005
462       0.462537       0.527679       -5.08005
463       0.463536       0.526778       -5.08005
464       0.464535       0.525875       -5.08005
465       0.465534       0.524972       -5.08005
466       0.466533       0.524067       -5.08005
467       0.467532       0.523162       -5.08005
468       0.468531       0.522256       -5.08005
469        0.46953       0.521348       -5.08005
470       0.470529        0.52044       -5.08005
471       0.471528       0.519531       -5.08005
472       0.472527       0.518621       -5.08005
473       0.473526       0.517711       -5.08005
474       0.474525       0.516799       -5.08005
475       0.475524       0.515886       -5.08005
476       0.476523       0.514973       -5.08005
477       0.477522       0.514059       -5.08005
478       0.478521       0.513144       -5.08005
479        0.47952       0.512228       -5.08005
480       0.480519       0.511311       -5.08005
481       0.481518       0.510393       -5.08005
482       0.482517       0.509475       -5.08005
483       0.483516       0.508556       -5.08005
484       0.484515       0.507636       -5.08005
485       0.485514       0.506715       -5.08005
486       0.486513       0.505794       -5.08005
487       0.487512       0.504871       -5.08005
488       0.488511       0.503948       -5.08005
489        0.48951       0.503024       -5.08005
490       0.490509         0.5021       -5.08005
491       0.491508       0.501175       -5.08005
492       0.492507       0.500249       -5.08005
493       0.493506       0.499322       -5.08005
494       0.494505       0.498394       -5.08005
495       0.495504       0.497466       -5.08005
496       0.496503       0.496537       -5.08005
497       0.497502       0.495608       -5.08005
498       0.498501       0.494677       -5.08005
499         0.4995       0.493746       -5.08005
500         0.5005       0.492815       -5.08005
501       0.501499       0.491882       -5.08005
502       0.502498       0.490949       -5.08005
503       0.503497       0.490016       -5.08005
504       0.504496       0.489082       -5.08005
505       0.505495       0.488147       -5.08005
506       0.506494       0.487211       -5.08005
507       0.507493       0.486275       -5.08005
508       0.508492       0.485338       -5.08005
509       0.509491       0.484401       -5.08005
510        0.51049       0.483463       -5.08005
511       0.511489       0.482524       -5.08005
512       0.512488       0.481585       -5.08005
513       0.513487       0.480645       -5.08005
514       0.514486       0.479705       -5.08005
515       0.515485       0.478764       -5.08005
516       0.516484       0.477822       -5.08005
517       0.517483        0.47688       -5.08005
518       0.518482       0.475937       -5.08005
519       0.519481       0.474994       -5.08005
520        0.52048        0.47405       -5.08005
521       0.521479       0.473106       -5.08005
522       0.522478       0.472161       -5.08005
523       0.523477       0.471215       -5.08005
524       0.524476       0.470269       -5.08005
525       0.525475       0.469323       -5.08005
526       0.526474       0.468376       -5.08005
527       0.527473       0.467428       -5.08005
528       0.528472        0.46648       -5.08005
529       0.529471       0.465532       -5.08005
530        0.53047       0.464582       -5.08005
531       0.531469       0.463633       -5.08005
532       0.532468       0.462683       -5.08005
533       0.533467       0.461732       -5.08005
534       0.534466       0.460781       -5.08005
535       0.535465        0.45983       -5.08005
536       0.536464       0.458878       -5.08005
537       0.537463       0.457925       -5.08005
538       0.538462       0.456973       -5.08005
539       0.539461       0.456019       -5.08005
540        0.54046       0.455065       -5.08005
541       0.541459       0.454111       -5.08005
542       0.542458       0.453156       -5.08005
543       0.543457       0.452201       -5.08005
544       0.544456       0.451246       -5.08005
545       0.545455        0.45029       -5.08005
546       0.546454       0.449333       -5.08005
547       0.547453       0.448376       -5.08005
548       0.548452       0.447419       -5.08005
549       0.549451       0.446461       -5.08005
550        0.55045       0.445503       -5.08005
551       0.551449       0.444545       -5.08005
552       0.552448       0.443586       -5.08005
553       0.553447       0.442627       -5.08005
554       0.554446       0.441667       -5.08005
555       0.555445       0.440707       -5.08005
556       0.556444       0.439746       -5.08005
557       0.557443       0.438785       -5.08005
558       0.558442       0.437824       -5.08005
559       0.559441       0.436863       -5.08005
560        0.56044       0.435901       -5.08005
561       0.561439       0.434938       -5.08005
562       0.562438       0.433976       -5.08005
563       0.563437       0.433012       -5.08005
564       0.564436       0.432049       -5.08005
565       0.565435       0.431085       -5.08005
566       0.566434       0.430121       -5.08005
567       0.567433       0.429157       -5.08005
568       0.568432       0.428192       -5.08005
569       0.569431       0.427227       -5.08005
570        0.57043       0.426261       -5.08005
571       0.571429       0.425295       -5.08005
572       0.572428       0.424329       -5.08005
573       0.573427       0.423363       -5.08005
574       0.574426       0.422396       -5.08005
575       0.575425       0.421429       -5.08005
576       0.576424       0.420461       -5.08005
577       0.577423       0.419494       -5.08005
578       0.578422       0.418525       -5.08005
579       0.579421       0.417557       -5.08005
580        0.58042       0.416588       -5.08005
581       0.581419       0.415619       -5.08005
582       0.582418        0.41465       -5.08005
583       0.583417       0.413681       -5.08005
584       0.584416       0.412711       -5.08005
585       0.585415       0.411741       -5.08005
586       0.586414        0.41077       -5.08005
587       0.587413       0.409799       -5.08005
588       0.588412       0.408828       -5.08005
589       0.589411       0.407857       -5.08005
590        0.59041       0.406886       -5.08005
591       0.591409       0.405914       -5.08005
592       0.592408       0.404942       -5.08005
593       0.593407       0.403969       -5.08005
594       0.594406       0.402997       -5.08005
595       0.595405       0.402024       -5.08005
596       0.596404       0.401051       -5.08005
597       0.597403       0.400077       -5.08005
598       0.598402       0.399104       -5.08005
599       0.599401        0.39813       -5.08005
600         0.6004       0.397155       -5.08005
601       0.601399       0.396181       -5.08005
602       0.602398       0.395206       -5.08005
603       0.603397       0.394232       -5.08005
604       0.604396       0.393256       -5.08005
605       0.605395       0.392281       -5.08005
606       0.606394       0.391305       -5.08005
607       0.607393        0.39033       -5.08005
608       0.608392       0.389354       -5.08005
609       0.609391       0.388377       -5.08005
610        0.61039       0.387401       -5.08005
611       0.611389       0.386424       -5.08005
612       0.612388       0.385447       -5.08005
613       0.613387        0.38447       -5.08005
614       0.614386       0.383492       -5.08005
615       0.615385       0.382515       -5.08005
616       0.616384       0.381537       -5.08005
617       0.617383       0.380559       -5.08005
618       0.618382       0.379581       -5.08005
619       0.619381       0.378602       -5.08005
620        0.62038       0.377624       -5.08005
621       0.621379       0.376645       -5.08005
622       0.622378       0.375666       -5.08005
623       0.623377       0.374687       -5.08005
624       0.624376       0.373707       -5.08005
625       0.625375       0.372727       -5.08005
626       0.626374       0.371748       -5.08005
627       0.627373       0.370768       -5.08005
628       0.628372       0.369787       -5.08005
629       0.629371       0.368807       -5.08005
630        0.63037       0.367826       -5.08005
631       0.631369       0.366846       -5.08005
632       0.632368       0.365865       -5.08005
633       0.633367       0.364884       -5.08005
634       0.634366       0.363902       -5.08005
635       0.635365       0.362921       -5.08005
636       0.636364       0.361939       -5.08005
637       0.637363       0.360957       -5.08005
638       0.638362       0.359975       -5.08005
639       0.639361       0.358993       -5.08005
640        0.64036       0.358011       -5.08005
641       0.641359       0.357028       -5.08005
642       0.642358       0.356046       -5.08005
643       0.643357       0.355063       -5.08005
644       0.644356        0.35408       -5.08005
645       0.645355       0.353097       -5.08005
646       0.646354       0.352113       -5.08005
647       0.647353        0.35113       -5.08005
648       0.648352       0.350146       -5.08005
649       0.649351       0.349163       -5.08005
650        0.65035       0.348179       -5.08005
651       0.651349       0.347195       -5.08005
652       0.652348       0.346211       -5.08005
653       0.653347       0.345226       -5.08005
654       0.654346       0.344242       -5.08005
655       0.655345       0.343257       -5.08005
656       0.656344       0.342272       -5.08005
657       0.657343       0.341287       -5.08005
658       0.658342       0.340302       -5.08005
659       0.659341       0.339317       -5.08005
660        0.66034       0.338332       -5.08005
661       0.661339       0.337346       -5.08005
662       0.662338       0.336361       -5.08005
663       0.663337       0.335375       -5.08005
664       0.664336       0.334389       -5.08005
665       0.665335       0.333403       -5.08005
666       0.666334       0.332417       -5.08005
667       0.667333       0.331431       -5.08005
668       0.668332       0.330444       -5.08005
669       0.669331       0.329458       -5.08005
670        0.67033       0.328471       -5.08005
671       0.671329       0.327484       -5.08005
672       0.672328       0.326498       -5.08005
673       0.673327       0.325511       -5.08005
674       0.674326       0.324523       -5.08005
675       0.675325       0.323536       -5.08005
676       0.676324       0.322549       -5.08005
677       0.677323       0.321561       -5.08005
678       0.678322       0.320574       -5.08005
679       0.679321       0.319586       -5.08005
680        0.68032       0.318598       -5.08005
681       0.681319        0.31761       -5.08005
682       0.682318       0.316622       -5.08005
683       0.683317       0.315634       -5.08005
684       0.684316       0.314646       -5.08005
685       0.685315       0.313658       -5.08005
686       0.686314       0.312669       -5.08005
687       0.687313       0.311681       -5.08005
688       0.688312       0.310692       -5.08005
689       0.689311       0.309703       -5.08005
690        0.69031       0.308714       -5.08005
691       0.691309       0.307725       -5.08005
692       0.692308       0.306736       -5.08005
693       0.693307       0.305747       -5.08005
694       0.694306       0.304758       -5.08005
695       0.695305       0.303769       -5.08005
696       0.696304       0.302779       -5.08005
697       0.697303        0.30179       -5.08005
698       0.698302         0.3008       -5.08005
699       0.699301        0.29981       -5.08005
700         0.7003        0.29882       -5.08005
701       0.701299       0.297831       -5.08005
702       0.702298       0.296841       -5.08005
703       0.703297        0.29585       -5.08005
704       0.704296        0.29486       -5.08005
705       0.705295        0.29387       -5.08005
706       0.706294        0.29288       -5.08005
707       0.707293       0.291889       -5.08005
708       0.708292       0.290899       -5.08005
709       0.709291       0.289908       -5.08005
710        0.71029       0.288917       -5.08005
711       0.711289       0.287927       -5.08005
712       0.712288       0.286936       -5.08005
713       0.713287       0.285945       -5.08005
714       0.714286       0.284954       -5.08005
715       0.715285       0.283963       -5.08005
716       0.716284       0.282972       -5.08005
717       0.717283        0.28198       -5.08005
718       0.718282       0.280989       -5.08005
719       0.719281       0.279998       -5.08005
720        0.72028       0.279006       -5.08005
721       0.721279       0.278015       -5.08005
722       0.722278       0.277023       -5.08005
723       0.723277       0.276031       -5.08005
724       0.724276        0.27504       -5.08005
725       0.725275       0.274048       -5.08005
726       0.726274       0.273056       -5.08005
727       0.727273       0.272064       -5.08005
728       0.728272       0.271072       -5.08005
729       0.729271        0.27008       -5.08005
730        0.73027       0.269087       -5.08005
731       0.731269       0.268095       -5.08005
732       0.732268       0.267103       -5.08005
733       0.733267       0.266111       -5.08005
734       0.734266       0.265118       -5.08005
735       0.735265       0.264126       -5.08005
736       0.736264       0.263133       -5.08005
737       0.737263        0.26214       -5.08005
738       0.738262       0.261148       -5.08005
739       0.739261       0.260155       -5.08005
740        0.74026       0.259162       -5.08005
741       0.741259       0.258169       -5.08005
742       0.742258       0.257176       -5.08005
743       0.743257       0.256183       -5.08005
744       0.744256        0.25519       -5.08005
745       0.745255       0.254197       -5.08005
746       0.746254       0.253204       -5.08005
747       0.747253       0.252211       -5.08005
748       0.748252       0.251217       -5.08005
749       0.749251       0.250224       -5.08005
750        0.75025       0.249231       -5.08005
751       0.751249       0.248237       -5.08005
752       0.752248       0.247244       -5.08005
753       0.753247        0.24625       -5.08005
754       0.754246       0.245256       -5.08005
755       0.755245       0.244263       -5.08005
756       0.756244       0.243269       -5.08005
757       0.757243       0.242275       -5.08005
758       0.758242       0.241281       -5.08005
759       0.759241       0.240287       -5.08005
760        0.76024       0.239294       -5.08005
761       0.761239         0.2383       -5.08005
762       0.762238       0.237305       -5.08005
763       0.763237       0.236311       -5.08005
764       0.764236       0.235317       -5.08005
765       0.765235       0.234323       -5.08005
766       0.766234       0.233329       -5.08005
767       0.767233       0.232335       -5.08005
768       0.768232        0.23134       -5.08005
769       0.769231       0.230346       -5.08005
770        0.77023       0.229352       -5.08005
771       0.771229       0.228357       -5.08005
